"STORE","Yr","mon","dayCount"
1402,2004,9,29
6104,2004,11,29
7703,2004,11,29
2907,2004,11,29
9309,2004,11,29
1807,2004,11,29
5502,2004,11,29
1103,2004,11,29
5504,2004,11,29
2102,2004,11,29
1104,2004,11,29
7807,2004,11,29
7402,2004,9,29
7202,2004,11,29
1609,2004,11,29
8202,2004,11,29
304,2004,11,29
7603,2004,11,29
5103,2004,11,29
2602,2004,11,29
6904,2004,11,29
7907,2004,11,29
2603,2004,11,29
8202,2004,9,29
4407,2004,11,29
6203,2004,11,29
3209,2004,11,29
8503,2004,11,29
9209,2004,11,29
1004,2004,11,29
7204,2004,11,29
5903,2004,11,29
103,2004,11,29
709,2004,11,29
2804,2004,11,29
4803,2004,11,29
4004,2004,11,29
2607,2004,11,29
2502,2004,11,29
6002,2004,11,29
9709,2004,11,29
4302,2004,11,29
1307,2004,11,29
3804,2004,11,29
4604,2004,11,29
3302,2004,11,29
4309,2004,11,29
303,2004,11,29
3807,2004,11,29
7107,2005,3,29
9909,2004,11,29
4607,2004,11,29
5203,2004,11,29
2203,2004,11,29
7904,2004,11,29
3009,2004,11,29
8602,2004,11,29
5303,2004,11,29
504,2004,11,29
8802,2004,11,29
6903,2004,11,29
907,2004,11,29
4703,2004,11,29
2503,2004,11,29
7402,2004,11,29
9609,2004,11,29
5503,2004,11,29
8407,2004,11,29
7403,2004,11,29
4807,2004,11,29
309,2004,11,29
3707,2004,11,29
4603,2004,11,29
1502,2004,8,29
3103,2004,11,29
9302,2004,11,29
1007,2004,11,29
7007,2004,11,29
3902,2004,11,29
4707,2004,11,29
9409,2004,11,29
8703,2004,11,29
2407,2004,11,29
3909,2004,11,29
1203,2004,11,29
2904,2004,11,29
3507,2004,11,29
1002,2004,11,29
8902,2004,11,29
1804,2004,11,29
403,2004,11,29
9202,2004,11,29
3307,2004,11,29
4504,2004,11,29
4702,2005,7,29
1703,2004,11,29
9603,2004,11,29
5602,2004,11,29
2402,2004,11,29
8603,2004,11,29
5204,2004,11,29
4104,2004,11,29
7202,2004,9,29
8802,2004,9,29
3702,2004,11,29
503,2004,11,29
4202,2004,11,29
8702,2004,9,29
7507,2004,11,29
2309,2004,11,29
9806,2005,6,29
1403,2004,11,29
2509,2004,11,29
6704,2004,11,29
2307,2004,11,29
4503,2004,11,29
9504,2004,11,29
5102,2004,11,29
1404,2004,11,29
2604,2004,11,29
6204,2004,11,29
3902,2005,7,29
402,2004,11,29
8404,2004,11,29
4907,2004,11,29
9104,2004,11,29
3504,2004,11,29
9503,2004,11,29
2807,2004,11,29
5104,2004,11,29
1207,2004,11,29
3609,2004,11,29
4103,2004,11,29
203,2004,11,29
9404,2004,11,29
703,2004,11,29
3204,2004,11,29
5703,2004,11,29
8707,2004,11,29
802,2004,11,29
1602,2004,11,29
8007,2004,11,29
502,2004,11,29
1204,2004,11,29
7902,2004,11,29
3502,2004,11,29
6703,2004,11,29
9402,2004,11,29
7102,2004,9,29
7002,2004,9,29
2202,2004,11,29
3202,2004,11,29
4802,2005,7,29
2104,2004,11,29
4904,2004,11,29
202,2004,11,29
4109,2004,11,29
1304,2004,11,29
307,2004,11,29
4207,2004,11,29
1702,2004,11,29
1302,2004,11,29
6604,2004,11,29
909,2004,11,29
7704,2004,11,29
1709,2004,11,29
2004,2004,11,29
4903,2004,11,29
7702,2004,11,29
8102,2004,11,29
2702,2004,11,29
4307,2004,11,29
204,2004,11,29
3102,2004,11,29
4107,2004,11,29
7503,2004,11,29
4902,2004,11,29
8709,2004,11,29
3503,2004,11,29
9604,2004,11,29
7707,2004,11,29
4702,2004,11,29
404,2004,11,29
9002,2004,9,29
3607,2004,11,29
6202,2004,11,29
4203,2004,11,29
3109,2004,11,29
1109,2004,11,29
4804,2004,11,29
604,2004,11,29
8204,2004,11,29
2909,2004,11,29
6302,2004,11,29
8302,2004,9,29
8309,2004,11,29
3704,2004,11,29
3309,2004,11,29
2707,2004,11,29
5703,2004,12,29
5803,2004,11,29
3509,2004,11,29
5002,2004,11,29
2409,2004,11,29
1509,2004,11,29
9304,2004,11,29
4409,2004,11,29
7002,2004,11,29
6009,2004,11,29
2504,2004,11,29
7103,2004,11,29
6403,2004,11,29
9204,2004,11,29
7602,2004,11,29
9002,2004,11,29
4003,2004,11,29
6503,2004,11,29
4007,2004,11,29
7302,2004,11,29
3407,2004,11,29
9103,2004,11,29
2207,2004,11,29
8209,2004,11,29
8403,2004,11,29
5404,2004,11,29
2704,2004,11,29
4209,2004,11,29
4507,2004,11,29
407,2004,11,29
1202,2004,11,29
5302,2004,11,29
4303,2004,11,29
6902,2004,11,29
6804,2004,11,29
9303,2004,11,29
3709,2004,11,29
3604,2004,11,29
8302,2004,11,29
8409,2004,11,29
5603,2004,11,29
7407,2004,11,29
7304,2004,11,29
7003,2004,11,29
8607,2004,11,29
1102,2004,11,29
107,2004,11,29
4204,2004,11,29
8609,2004,11,29
1402,2004,11,29
7107,2004,11,29
5804,2004,11,29
2404,2004,11,29
